Date,Type,Team,Goalkeeper,MIN,GA,SV,CS,PCH,TCH,DS,SS,ACIB,ACOB,OG
46194,Regular,AFC Toronto,Sofia Manner,90,1,1,0,1,35,0,0,5,3,0
46194,Regular,Montreal Roses FC,Anna Karpenko,90,1,3,0,1,38,0,0,8,1,0
46194,Regular,Calgary Wild FC,Katelin Talbert,90,1,4,0,1,27,1,0,11,10,0
46198,Regular,Montreal Roses FC,Anna Karpenko,90,2,1,0,1,38,0,0,8,2,0
46198,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,4,0,1,38,0,0,9,10,0
46200,Regular,Calgary Wild FC,Katelin Talbert,90,1,5,0,2,40,0,1,7,4,0
46200,Regular,Halifax Tides FC,Anika Tóth,90,0,4,1,1,44,2,1,10,2,0
46201,Regular,Vancouver Rise FC,Jessica Wulf,90,3,2,0,1,37,1,0,10,5,0
46201,Regular,AFC Toronto,Sofia Manner,90,1,2,0,0,30,0,0,3,4,0
46207,Regular,Montreal Roses FC,Anna Karpenko,90,1,3,0,0,37,1,0,5,3,0
46207,Regular,Vancouver Rise FC,Kirstin Tynan,90,5,5,0,0,53,0,0,16,5,0
46208,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,2,0,0,34,0,0,5,7,0
46208,Regular,Calgary Wild FC,Katelin Talbert,90,3,12,0,0,54,3,1,21,8,0
46208,Regular,Halifax Tides FC,Rylee Foster,90,1,2,0,0,44,0,0,7,4,0
46208,Regular,AFC Toronto,Sofia Manner,90,0,1,1,2,38,0,0,7,6,0
46214,Regular,AFC Toronto,Sofia Manner,90,2,6,0,1,40,1,0,15,10,0
46214,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,2,0,0,28,0,0,14,3,0
46214,Regular,Calgary Wild FC,Katelin Talbert,90,4,2,0,0,30,0,0,9,2,0
46214,Regular,Vancouver Rise FC,Morgan McAslan,90,2,4,0,1,49,0,0,10,4,0
46215,Regular,Montreal Roses FC,Anna Karpenko,90,0,4,1,1,37,0,0,4,6,0
46215,Regular,Halifax Tides FC,Rylee Foster,90,1,0,0,0,32,0,0,5,2,0
46219,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,5,0,1,55,0,1,17,6,0
46219,Regular,Halifax Tides FC,Anika Tóth,90,2,0,0,0,39,0,0,4,6,0
46220,Regular,Calgary Wild FC,Katelin Talbert,90,2,3,0,0,34,2,0,14,4,0
46220,Regular,Montreal Roses FC,Anna Karpenko,90,0,2,1,0,32,0,0,3,1,0
46221,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,3,4,0,0,38,1,0,10,5,0
46221,Regular,Vancouver Rise FC,Morgan McAslan,90,0,6,1,0,51,1,0,9,5,0
46225,Regular,Calgary Wild FC,Katelin Talbert,90,2,4,0,0,42,0,0,15,2,0
46225,Regular,Ottawa Rapid FC,Melissa Dagenais,90,1,2,0,0,30,0,1,10,1,0
46226,Regular,Montreal Roses FC,Anna Karpenko,90,2,2,0,2,49,0,0,6,2,0
46226,Regular,AFC Toronto,Sabrina D'Angelo,90,0,3,1,0,32,1,0,7,5,0
46228,Regular,Vancouver Rise FC,Morgan McAslan,90,1,5,0,0,44,0,2,13,3,0
46228,Regular,Halifax Tides FC,Anika Tóth,90,0,2,1,0,39,1,0,6,5,0
46231,Regular,AFC Toronto,Sabrina D'Angelo,90,0,3,1,0,25,1,1,1,3,0
46231,Regular,Calgary Wild FC,Katelin Talbert,90,1,4,0,0,44,0,2,16,5,0
46232,Regular,Vancouver Rise FC,Morgan McAslan,90,4,3,0,0,40,0,0,11,7,0
46232,Regular,Montreal Roses FC,Anna Karpenko,90,3,3,0,2,42,1,0,11,8,0
46235,Regular,Calgary Wild FC,Katelin Talbert,90,6,3,0,0,44,1,0,14,10,0
46235,Regular,AFC Toronto,Sabrina D'Angelo,90,0,1,1,0,19,1,0,2,0,0
46237,Regular,Halifax Tides FC,Anika Tóth,120,3,5,0,0,64,1,1,18,7,0
46237,Regular,Ottawa Rapid FC,Melissa Dagenais,120,2,9,0,2,82,3,0,19,11,0
46241,Regular,Montreal Roses FC,Anna Karpenko,90,1,2,0,0,43,0,0,8,4,0
46241,Regular,Halifax Tides FC,Anika Tóth,90,0,4,1,0,40,0,0,10,3,0
46242,Regular,Vancouver Rise FC,Morgan McAslan,90,3,5,0,0,38,0,0,8,4,0
46242,Regular,Calgary Wild FC,Katelin Talbert,90,2,2,0,1,43,0,0,8,4,0
46243,Regular,Ottawa Rapid FC,Melissa Dagenais,90,2,3,0,0,46,0,0,9,2,0
46243,Regular,AFC Toronto,Sabrina D'Angelo,90,2,2,0,0,36,0,0,7,5,0
46249,Regular,Calgary Wild FC,Katelin Talbert,90,3,2,0,0,44,0,1,9,4,0
46249,Regular,Ottawa Rapid FC,Mollie Eriksson,90,4,5,0,1,43,0,1,13,3,0
46249,Regular,Vancouver Rise FC,Morgan McAslan,90,1,3,0,1,49,0,0,11,2,0
46249,Regular,Halifax Tides FC,Anika Tóth,90,2,3,0,2,39,1,0,12,6,0
46250,Regular,AFC Toronto,Sabrina D'Angelo,90,2,3,0,0,34,0,1,5,2,0
46250,Regular,Montreal Roses FC,Anna Karpenko,90,0,9,1,1,52,0,2,13,7,0
